Plastic,Reference,PDB entry,NCBI BLAST,taxonomy,GenBank/UniProt/MGnify,host,enzyme,gene,EC number,location/comment
PBS,"Uchida, 2001",,BAB86909,Bacteria,BAB86909,Acidovorax delafieldii Strain BS-3,PbsA,,,
PBS,"Zhou, 1999",,,Fungi,,Rhizopus delemar,Lipase,,,
PBS,"Maeda, 2005",,P52956.1,Fungi,P52956,Aspergillus oryzae ATCC42149,cutinase CutL1,,,
PBS,"Mao,2015; Hu, 2016",,Q99174,Fungi,Q99174,Fusarium solani,FSC,,,
PET,"Yoshida, 2016; Han 2017; Cui, 2021; Son, 2019; Lu, 2022; Bell, 2022; Shi et al., 2023; Sevilla et al., 2023","5XFY, and others",WP_054022242.1,Pseudomonadota (synonym with Proteobacteria),A0A0K8P6T7,Ideonella sakaiensis 201-F61,ISPETase,ISF6_4831,EC 3.1.1.101,
PET,"Danso, 2018, Blasquez-Sanchez, 2021",,MBQ0729274.1,Pseudomonadota (synonym with Proteobacteria),R4YKL9_OLEAN,Oleispira antarctica RB-8,PET5,LipA (=Oacut),EC 3.1.1.1,
PET,"Danso, 2018",7Z6B,ASA57064.1,Pseudomonadota (synonym with Proteobacteria),A0A1Z2SIQ1_VIBGA,Vibrio gazogenes,PET6,BSQ33_03270,EC 3.1.1.1,
PET,"Danso, 2018; Chen, 2021; Avilan,2023",,AKJ29164.1,Pseudomonadota (synonym with Proteobacteria),A0A0G3BI90_9BURK,Caldimonas brevitalea,PET12 (PbCut;SbCut),AAW51_2473,EC 3.1.1.1,
PET,"Meyer Cifuentes, 2022",7VMD,OK558825.1,Pseudomonadota (synonym with Proteobacteria),OK558825,Marinobacter sp.,PLE628,,EC 3.1.1.1,
PET,"Meyer Cifuentes, 2022",7VPA,OK558824.1,Pseudomonadota (synonym with Proteobacteria),OK558824,Marinobacter sp.,PLE629,,EC 3.1.1.1,
PET,"Inglis, 2011; Haernvall, 2017",,ADK73612,Pseudomonadota (synonym with Proteobacteria),ADK73612,Pseudomonas oleovorans/ pseudoalcaligenes DSM 50188,PpCutA/PoCut,,EC 3.1.1.74,
PET,"Haernvall, 2017",,ANP21910.1,Pseudomonadota (synonym with Proteobacteria),KU695573,Pseudomonas pelagia DSM 25163,PpelaLip,,EC 3.1.1.74,
PET,"Bollinger, 2020","6SBN, and others",WP_088276085.1,Pseudomonadota (synonym with Proteobacteria),A0A1H6AD45,Halopseudomonas aestusnigri VGXO14,PE-H,B7O88_11480,EC 3.1.1.1,
PET,"Ronkvist, 2009",2FX5,2FX5_A,Pseudomonadota (synonym with Proteobacteria),N20M5AZM016,Pseudomonas mendocina ATCC 53552,PmC,,EC 3.1.1.3,
PET,"Avilan, 2023",8AIS,WP_044499735.1,Pseudomonadota (synonym with Proteobacteria),A0A078MGG8,Pseudomonas saudimassiliensis,PsCut,,EC 3.1.1.1,
PET,"Avilan, 2023",8AIT,WP_036989706.1,Pseudomonadota (synonym with Proteobacteria),A0A031MKR8,Halopseudomonas bauzanensis,PbauzCut,,EC 3.1.1.1,
PET,"Avilan, 2023",,SUD16364.1,Pseudomonadota (synonym with Proteobacteria),SUD16364.1,Pseudomonas alcaligenes,PaCut,,EC 3.1.1.1,
PET,"Blasquez-Sanchez, 2021",8SPK,P19833.1,Pseudomonadota (synonym with Proteobacteria),P19833,Moraxella sp.TA144,lip1,Mors1,EC 3.1.1.3,
PET,"Haernvall, 2017, Wallace, 2016",,WP_003460012.1,Pseudomonadota (synonym with Proteobacteria),W6R2Y2,Pseudomonas pseudoalcaligenes,PpEst (tesA),,EC 3.1.1.2,
PET,"Eiamthong, 2022",,MGYP000532440779,Pseudomonadota (synonym with Proteobacteria),MGYP000532440779,Pseudomonas sp.,esterase MG8,,EC 3.1.1.1,
PET,"Edwards et al., 2022",,WP_085690612,Pseudomonadota (synonym with Proteobacteria),WP_085690612,Pseudomonas sp. strain 9.2,EstB,,EC 3.1.1.1,
PET,"Sagong, 2021, Avilan, 2023","7DZT, and others",A4W93_05950,Pseudomonadota (synonym with Proteobacteria),A4W93_05950,Rhizobacter gummiphilus NS21,RgPETase/RgCut-I,,EC 3.1.1.1,
PET,"Avilan, 2023",8AIR,WP_085749238.1,Pseudomonadota (synonym with Proteobacteria),WP_085749238.1,Rhizobacter gummiphilus,RgCut-II,,EC 3.1.1.1,
PET,"Erickson, 2022",,RLU00646.1,Pseudomonadota (synonym with Proteobacteria),RLU00646.1,Ketobacter sp.,Enzyme 403,,,
